"prev_bot","user_utterance","system_acknowledgement"
"Oh cool!  We have the same taste.  So do you have a comedy movie you like?  What's it called?","what's the gold in japanese","I do not know what the gold in japanese is."
"Cool! I think the story is intriguing,  especially all the magic and monsters! It's nice to see a videogame-inspired show succeed.  Tell me, what is your view on video-game inspired movies or tv shows?","do you like magic","I do not know if I like magic."
"That is a great name for a fish!","so do you like","I do not know how to so I like."
"Ahh! I believe we should wait for the consoles to be actually released instead of making a decision based on pre-release information.  After all, these specs and designs can still change!  Anyway, why don't we talk about some games?  What game would you like to talk about?","do you like the super mario maker","I do not know if I like the super mario maker."
"Hi, jack.  How are you doing today?","what is how are you doing in spanish","I do not know what is how are I doing in spanish."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","eat ice cream and pop","I see, you like to eat ice cream and pop."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","i just watch videos","Ok, you just watch videos."
"Ah, I've heard of Garfield! I'm wondering.  What did you think of the movie?  Did you like it?","who is very relatable","I do not know who is very relatable."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","take me to a social bot","Oh, you like to take you to a social bot."
"Oh, you like to take you to a social bot.  By the way, speaking of interests, I myself have been watching a lot of movies lately!  Wanna talk about them?","did the wash","I do not know if the wash."
"I do not know if the wash.  Anyway, Which was the last city that you traveled to?","what does","I do not know what does."
"Hi, this is an Alexa Prize Socialbot.  Nice to meet you!  Do you want to tell me your name?","what is your name","I do not know what my name is."
"All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","am i your dog","I see, am you my dog."
"Oh cool!  What kind of pet do you have?","can you have","I do not know if I can have."
"So, what's the name of your fish?","will you be here","I do not know if I will be here."
"Nice! I'm glad you're having a good day!  I'm doing great!  Thanks for asking!  I'm curious, What do you like to do for fun?","i like to draw and watch tv","Oh ok, you like to draw and watch tv."
"All righty! isabella, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","yes i started hating boxes","Ok, you started hating boxes."
"All righty! isabella, what are your plans for the weekend?","well considering you're in quarantine you no plans it all","Ok, you like considering I'm in quarantine."
"Sure.  When I'm not chatting, which is most of the time, I try to listen to as much music as possible.","what do you chat about","I do not know what I chat about."
"Alright!  All righty! dora, what are your plans for the weekend?","honey i just live my life monday to the next i've really ever make plants","Oh ok, you like honey."
"Uh oh , I think this is on my end... I thought I heard something different.  Do you mind talking about something else?","what do you want to talk about","I do not know what I want to talk about."
"All righty! dora, what are your plans for the weekend?","your name is  a. l. e. x. a. right","Ok, my name is a. l. e. x. a. right."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","listen to music","I see, you like to listen to music."
"that's ok.  You don't always have an answer.   Ohh, how many times do you have chili during a week?","can you play some music","I do not know if I can play some music."
"I have nothing more to talk about music.  All righty! dora, what are your plans for the weekend?","stay home right now we are under a stay home hn","Oh, you like to stay home right now."
"My apologies, I think you said but, but it's hard to hear.  Can you please say that again for me?","what did you read","I do not know what I read."
"Nice! I'm glad you're having a good day!  I'm feeling great, thanks for asking!  I'm curious, What do you like to do in your free time?","what do you say it again","I do not know what I say it again."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i love to read books and dumb and clean","Oh ok, you love to read books and dumb and clean."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","to be good","I see, to be good."
"This is what I heard about it:  Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.  Would you consider watching it?","you know what's my mom's name","I do not know I know what is your mom is name."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play","Oh ok, you like to play."
"Nice! I'm glad you're having a good day!  I'm fine, thanks!  I'm curious, are you up to something interesting in your free time?","are you worried about the corona virus","I do not know if I'm worried about the corona virus."
"All righty! amber, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","i drive with chocolate and i walked my dogs","I see, you drive with chocolate."
"Okay.  I'm curious, are you up to something interesting in your free time?","turn off","Oh, you like to turn off."
